0	0	0	0	0	0
64	0	0	62	7	0
128	0	0	123	14	0
192	0	0	185	21	0
256	0	0	246	29	0
320	0	0	308	36	0
384	0	0	369	43	0
448	0	0	431	50	0
512	0	0	493	57	0
576	0	0	554	64	0
640	0	0	616	72	0
704	0	0	677	79	0
768	0	0	739	86	0
832	0	0	800	93	0
896	0	0	862	100	0
960	0	0	924	107	0
1023	0	0	984	114	0
0	64	0	16	62	6
64	64	0	63	62	5
128	64	0	124	63	0
192	64	0	185	65	0
256	64	0	247	67	0
320	64	0	308	70	0
384	64	0	370	73	0
448	64	0	431	77	0
512	64	0	493	82	0
576	64	0	554	87	0
640	64	0	616	92	0
704	64	0	677	97	0
768	64	0	739	103	0
832	64	0	801	109	0
896	64	0	862	115	0
960	64	0	924	121	0
1023	64	0	984	127	0
0	128	0	32	124	13
64	128	0	68	124	12
128	128	0	126	124	10
192	128	0	187	125	3
256	128	0	248	126	0
320	128	0	309	127	0
384	128	0	370	129	0
448	128	0	432	131	0
512	128	0	493	134	0
576	128	0	555	136	0
640	128	0	616	139	0
704	128	0	678	143	0
768	128	0	739	146	0
832	128	0	801	150	0
896	128	0	862	154	0
960	128	0	924	159	0
1023	128	0	984	163	0
0	192	0	49	186	19
64	192	0	76	186	19
128	192	0	130	186	17
192	192	0	189	186	15
256	192	0	249	187	10
320	192	0	310	188	0
384	192	0	371	189	0
448	192	0	433	190	0
512	192	0	494	192	0
576	192	0	555	194	0
640	192	0	617	196	0
704	192	0	678	198	0
768	192	0	740	200	0
832	192	0	801	203	0
896	192	0	863	206	0
960	192	0	924	209	0
1023	192	0	985	212	0
0	256	0	65	247	25
64	256	0	87	247	25
128	256	0	136	248	24
192	256	0	193	248	23
256	256	0	252	248	20
320	256	0	312	249	16
384	256	0	373	250	7
448	256	0	434	251	0
512	256	0	495	252	0
576	256	0	556	253	0
640	256	0	618	255	0
704	256	0	679	256	0
768	256	0	740	258	0
832	256	0	802	260	0
896	256	0	863	262	0
960	256	0	925	265	0
1023	256	0	985	267	0
0	320	0	81	309	31
64	320	0	99	309	31
128	320	0	143	309	31
192	320	0	198	310	30
256	320	0	256	310	28
320	320	0	315	310	25
384	320	0	375	311	21
448	320	0	436	312	15
512	320	0	497	313	0
576	320	0	558	314	0
640	320	0	619	315	0
704	320	0	680	316	0
768	320	0	742	317	0
832	320	0	803	319	0
896	320	0	864	321	0
960	320	0	926	323	0
1023	320	0	986	325	0
0	384	0	97	371	38
64	384	0	112	371	38
128	384	0	152	371	37
192	384	0	204	371	36
256	384	0	260	372	35
320	384	0	319	372	33
384	384	0	378	373	30
448	384	0	438	373	26
512	384	0	499	374	21
576	384	0	560	375	10
640	384	0	621	376	0
704	384	0	682	377	0
768	384	0	743	378	0
832	384	0	804	379	0
896	384	0	865	380	0
960	384	0	927	382	0
1023	384	0	987	383	0
0	448	0	114	433	44
64	448	0	126	433	44
128	448	0	162	433	43
192	448	0	211	433	43
256	448	0	266	433	42
320	448	0	323	434	40
384	448	0	382	434	38
448	448	0	441	435	35
512	448	0	501	435	31
576	448	0	562	436	26
640	448	0	623	437	18
704	448	0	683	438	0
768	448	0	744	438	0
832	448	0	805	440	0
896	448	0	867	441	0
960	448	0	928	442	0
1023	448	0	988	443	0
0	512	0	130	495	50
64	512	0	141	495	50
128	512	0	173	495	50
192	512	0	219	495	49
256	512	0	272	495	48
320	512	0	328	495	47
384	512	0	386	496	45
448	512	0	445	496	43
512	512	0	504	497	40
576	512	0	564	497	37
640	512	0	625	498	32
704	512	0	685	499	25
768	512	0	746	499	13
832	512	0	807	500	0
896	512	0	868	501	0
960	512	0	929	502	0
1023	512	0	989	504	0
0	576	0	146	557	57
64	576	0	156	557	56
128	576	0	185	557	56
192	576	0	228	557	56
256	576	0	279	557	55
320	576	0	334	557	54
384	576	0	391	557	52
448	576	0	449	558	50
512	576	0	508	558	48
576	576	0	567	559	45
640	576	0	627	559	42
704	576	0	688	560	37
768	576	0	748	561	31
832	576	0	809	562	22
896	576	0	870	562	0
960	576	0	931	563	0
1023	576	0	991	564	0
0	640	0	162	618	63
64	640	0	171	618	63
128	640	0	198	619	62
192	640	0	238	619	62
256	640	0	287	619	61
320	640	0	340	619	60
384	640	0	396	619	59
448	640	0	453	620	57
512	640	0	512	620	55
576	640	0	571	620	53
640	640	0	630	621	50
704	640	0	690	621	47
768	640	0	751	622	42
832	640	0	811	623	37
896	640	0	872	624	29
960	640	0	933	624	16
1023	640	0	993	625	0
0	704	0	178	680	69
64	704	0	186	680	69
128	704	0	211	680	69
192	704	0	249	680	68
256	704	0	295	681	68
320	704	0	347	681	67
384	704	0	402	681	66
448	704	0	458	681	64
512	704	0	516	682	63
576	704	0	575	682	61
640	704	0	634	682	58
704	704	0	693	683	55
768	704	0	753	684	52
832	704	0	814	684	47
896	704	0	874	685	42
960	704	0	935	686	35
1023	704	0	995	686	26
0	768	0	195	742	75
64	768	0	202	742	75
128	768	0	224	742	75
192	768	0	260	742	75
256	768	0	305	742	74
320	768	0	355	743	73
384	768	0	408	743	72
448	768	0	464	743	71
512	768	0	521	743	70
576	768	0	579	744	68
640	768	0	638	744	66
704	768	0	697	745	63
768	768	0	757	745	60
832	768	0	817	746	57
896	768	0	877	746	53
960	768	0	937	747	48
1023	768	0	997	748	42
0	832	0	211	804	82
64	832	0	217	804	82
128	832	0	238	804	81
192	832	0	272	804	81
256	832	0	314	804	81
320	832	0	363	804	80
384	832	0	415	805	79
448	832	0	470	805	78
512	832	0	526	805	76
576	832	0	583	805	75
640	832	0	642	806	73
704	832	0	700	806	71
768	832	0	760	807	68
832	832	0	820	807	65
896	832	0	880	808	62
960	832	0	940	808	58
1023	832	0	999	809	53
0	896	0	227	866	88
64	896	0	233	866	88
128	896	0	252	866	88
192	896	0	284	866	87
256	896	0	325	866	87
320	896	0	372	866	86
384	896	0	422	866	85
448	896	0	476	867	84
512	896	0	532	867	83
576	896	0	588	867	82
640	896	0	646	867	80
704	896	0	705	868	78
768	896	0	763	868	76
832	896	0	823	869	73
896	896	0	883	869	70
960	896	0	943	870	67
1023	896	0	1002	870	63
0	960	0	243	928	94
64	960	0	249	928	94
128	960	0	267	928	94
192	960	0	297	928	94
256	960	0	336	928	93
320	960	0	381	928	93
384	960	0	430	928	92
448	960	0	483	928	91
512	960	0	538	929	90
576	960	0	594	929	89
640	960	0	651	929	87
704	960	0	709	930	85
768	960	0	767	930	83
832	960	0	826	930	81
896	960	0	886	931	78
960	960	0	946	931	75
1023	960	0	1005	932	72
0	1023	0	259	989	100
