0	0	0	0	0	0
64	0	0	56	15	9
128	0	0	112	30	19
192	0	0	169	46	28
256	0	0	225	61	37
320	0	0	281	76	47
384	0	0	337	91	56
448	0	0	394	107	66
512	0	0	450	122	75
576	0	0	506	137	84
640	0	0	562	152	94
704	0	0	619	167	103
768	0	0	675	183	112
832	0	0	731	198	122
896	0	0	787	213	131
960	0	0	843	228	140
1023	0	0	899	243	150
0	64	0	32	61	19
64	64	0	63	62	21
128	64	0	116	66	26
192	64	0	171	74	33
256	64	0	226	83	41
320	64	0	282	94	50
384	64	0	338	107	59
448	64	0	394	120	67
512	64	0	450	133	77
576	64	0	507	147	86
640	64	0	563	161	95
704	64	0	619	175	104
768	64	0	675	190	113
832	64	0	731	204	123
896	64	0	788	219	132
960	64	0	844	234	141
1023	64	0	899	248	150
0	128	0	63	122	38
64	128	0	82	122	39
128	128	0	126	124	42
192	128	0	177	128	46
256	128	0	231	133	52
320	128	0	286	140	59
384	128	0	341	148	66
448	128	0	397	157	74
512	128	0	453	167	82
576	128	0	508	177	91
640	128	0	564	189	99
704	128	0	620	201	108
768	128	0	676	213	117
832	128	0	733	226	126
896	128	0	789	239	135
960	128	0	845	253	144
1023	128	0	900	266	153
0	192	0	95	182	58
64	192	0	108	183	58
128	192	0	143	184	60
192	192	0	189	186	63
256	192	0	240	190	67
320	192	0	293	194	72
384	192	0	347	199	78
448	192	0	401	206	85
512	192	0	456	213	92
576	192	0	512	221	99
640	192	0	567	230	107
704	192	0	623	240	115
768	192	0	679	250	123
832	192	0	735	261	132
896	192	0	791	272	140
960	192	0	847	283	149
1023	192	0	902	295	158
0	256	0	127	243	77
64	256	0	136	243	77
128	256	0	164	244	78
192	256	0	205	246	81
256	256	0	252	248	84
320	256	0	302	251	88
384	256	0	355	255	93
448	256	0	408	260	98
512	256	0	462	266	104
576	256	0	517	272	111
640	256	0	572	279	117
704	256	0	627	287	125
768	256	0	682	295	132
832	256	0	738	304	140
896	256	0	794	313	148
960	256	0	849	323	156
1023	256	0	904	333	164
0	320	0	158	304	96
64	320	0	165	304	96
128	320	0	189	305	97
192	320	0	224	306	99
256	320	0	267	308	101
320	320	0	315	310	105
384	320	0	365	313	109
448	320	0	417	317	113
512	320	0	470	322	118
576	320	0	524	327	124
640	320	0	578	332	130
704	320	0	632	339	137
768	320	0	687	345	143
832	320	0	742	353	150
896	320	0	798	361	158
960	320	0	853	369	165
1023	320	0	908	378	173
0	384	0	190	365	115
64	384	0	196	365	116
128	384	0	215	365	116
192	384	0	246	366	118
256	384	0	285	368	120
320	384	0	330	370	122
384	384	0	378	372	126
448	384	0	428	375	129
512	384	0	479	379	134
576	384	0	532	383	139
640	384	0	585	388	144
704	384	0	639	393	150
768	384	0	693	399	156
832	384	0	748	405	162
896	384	0	803	412	169
960	384	0	858	419	176
1023	384	0	912	426	183
0	448	0	222	425	135
64	448	0	226	425	135
128	448	0	243	426	135
192	448	0	270	427	137
256	448	0	306	428	138
320	448	0	347	430	140
384	448	0	393	432	143
448	448	0	441	434	147
512	448	0	491	437	150
576	448	0	542	441	155
640	448	0	594	445	159
704	448	0	647	449	165
768	448	0	701	454	170
832	448	0	755	460	176
896	448	0	809	465	182
960	448	0	863	471	188
1023	448	0	917	478	195
0	512	0	253	486	154
64	512	0	257	486	154
128	512	0	272	487	155
192	512	0	296	487	156
256	512	0	328	488	157
320	512	0	367	490	159
384	512	0	410	492	161
448	512	0	456	494	164
512	512	0	504	496	167
576	512	0	554	499	171
640	512	0	605	503	175
704	512	0	657	507	180
768	512	0	709	511	185
832	512	0	762	516	190
896	512	0	816	521	196
960	512	0	870	526	202
1023	512	0	924	532	208
0	576	0	285	547	173
64	576	0	288	547	173
128	576	0	301	547	174
192	576	0	323	548	175
256	576	0	352	549	176
320	576	0	388	550	177
384	576	0	428	552	180
448	576	0	472	554	182
512	576	0	518	556	185
576	576	0	567	558	188
640	576	0	616	561	192
704	576	0	667	565	196
768	576	0	719	569	201
832	576	0	771	573	206
896	576	0	824	577	211
960	576	0	878	582	216
1023	576	0	931	587	222
0	640	0	317	608	192
64	640	0	320	608	192
128	640	0	331	608	193
192	640	0	350	609	194
256	640	0	377	609	195
320	640	0	410	610	196
384	640	0	448	612	198
448	640	0	490	614	200
512	640	0	535	616	203
576	640	0	581	618	206
640	640	0	630	621	209
704	640	0	679	624	213
768	640	0	730	627	217
832	640	0	782	630	222
896	640	0	834	634	226
960	640	0	887	639	231
1023	640	0	939	643	236
0	704	0	348	668	212
64	704	0	351	668	212
128	704	0	361	669	212
192	704	0	379	669	213
256	704	0	403	670	214
320	704	0	434	671	215
384	704	0	470	672	217
448	704	0	509	674	219
512	704	0	552	675	221
576	704	0	597	678	224
640	704	0	644	680	227
704	704	0	693	683	230
768	704	0	742	686	234
832	704	0	793	689	238
896	704	0	844	692	242
960	704	0	896	696	247
1023	704	0	948	700	252
0	768	0	380	729	231
64	768	0	382	729	231
128	768	0	391	729	231
192	768	0	408	730	232
256	768	0	430	731	233
320	768	0	459	731	234
384	768	0	492	733	235
448	768	0	530	734	237
512	768	0	571	736	239
576	768	0	614	737	242
640	768	0	660	740	245
704	768	0	707	742	248
768	768	0	756	745	251
832	768	0	805	748	255
896	768	0	856	751	259
960	768	0	907	754	263
1023	768	0	958	758	268
0	832	0	411	790	250
64	832	0	414	790	250
128	832	0	422	790	250
192	832	0	437	791	251
256	832	0	458	791	252
320	832	0	485	792	253
384	832	0	516	793	254
448	832	0	552	794	256
512	832	0	591	796	258
576	832	0	633	797	260
640	832	0	677	799	263
704	832	0	723	802	266
768	832	0	770	804	269
832	832	0	819	807	272
896	832	0	868	810	276
960	832	0	918	813	280
1023	832	0	969	816	284
0	896	0	443	851	269
64	896	0	445	851	269
128	896	0	453	851	270
192	896	0	466	851	270
256	896	0	486	852	271
320	896	0	511	853	272
384	896	0	541	853	273
448	896	0	575	855	275
512	896	0	612	856	276
576	896	0	652	858	279
640	896	0	695	859	281
704	896	0	739	861	284
768	896	0	785	864	286
832	896	0	833	866	290
896	896	0	881	869	293
960	896	0	931	872	297
1023	896	0	981	875	301
0	960	0	475	911	289
64	960	0	477	911	289
128	960	0	484	912	289
192	960	0	496	912	289
256	960	0	514	912	290
320	960	0	538	913	291
384	960	0	566	914	292
448	960	0	598	915	293
512	960	0	634	916	295
576	960	0	672	918	297
640	960	0	714	919	299
704	960	0	757	921	302
768	960	0	802	923	304
832	960	0	848	926	307
896	960	0	896	928	311
960	960	0	944	931	314
1023	960	0	993	934	318
0	1023	0	506	971	307
64	1023	0	508	971	308
128	1023	0	514	971	308
192	1023	0	526	972	308
256	1023	0	543	972	309
320	1023	0	565	973	310
384	1023	0	591	974	311
448	1023	0	622	975	312
512	1023	0	656	976	314
576	1023	0	693	977	315
640	1023	0	733	979	317
704	1023	0	775	980	320
768	1023	0	819	982	322
832	1023	0	864	984	325
896	1023	0	911	987	328
960	1023	0	959	989	331
1023	1023	0	1006	992	335
0	0	64	14	9	59
64	0	64	57	17	59
128	0	64	113	31	61
192	0	64	169	46	64
256	0	64	225	61	68
320	0	64	281	76	73
384	0	64	338	92	79
448	0	64	394	107	85
512	0	64	450	122	92
576	0	64	506	137	100
640	0	64	562	152	108
704	0	64	619	167	116
768	0	64	675	183	124
832	0	64	731	198	132
